19|είχα φάει|나는 먹었었다||1/3|33%|00:00:05.117|00:00:05.117|correct|2025-04-07 14:27:02
20|είχες φάει|너는 먹었었다||1/3|33%|00:00:04.135|00:00:04.135|correct|2025-04-07 14:27:02
21|είχε φάει|그/그녀는 먹었었다||1/3|33%|00:00:06.616|00:00:06.616|correct|2025-04-07 14:27:02
22|είχαμε φάει|우리는 먹었었다||1/3|33%|00:00:06.249|00:00:06.249|correct|2025-04-07 14:27:02
23|είχατε φάει|너희는 먹었었다||1/3|33%|00:00:06.531|00:00:06.531|correct|2025-04-07 14:27:02
24|είχαν φάει|그들은 먹었었다||1/4|25%|00:00:03.030|00:00:03.030|correct|2025-04-07 14:27:13
2|έφαγες|너는 먹었다||1/2|50%|00:00:07.763|00:00:07.763|correct|2025-04-07 14:25:16
3|έφαγε|그/그녀는 먹었다||1/2|50%|00:00:09.666|00:00:09.666|correct|2025-04-07 14:25:16
5|φάγατε|너희는 먹었다||1/2|50%|00:00:10.451|00:00:10.451|correct|2025-04-07 14:25:16
6|έφαγαν / φάγανε|그들은 먹었다||1/2|50%|00:00:21.038|00:00:21.038|correct|2025-04-07 14:25:16
10|τρώγαμε|우리는 먹고 있었다 / 자주 먹었다||1/2|50%|00:00:12.367|00:00:12.367|correct|2025-04-07 14:25:16
12|έτρωγαν / τρώγανε|그들은 먹고 있었다 / 자주 먹었다||1/2|50%|00:00:21.754|00:00:21.754|correct|2025-04-07 14:25:16
13|έχω φάει|나는 먹은 적 있다||1/2|50%|00:00:06.349|00:00:06.349|correct|2025-04-07 14:25:16
1|έφαγα|나는 먹었다||1/1|100%|00:00:07.799|00:00:07.799|correct|2025-04-07 12:28:49
4|φάγαμε|우리는 먹었다||1/1|100%|00:00:07.485|00:00:07.485|correct|2025-04-07 12:28:49
7|έτρωγα|나는 먹고 있었다 / 자주 먹었다||1/1|100%|00:00:12.534|00:00:12.534|correct|2025-04-07 12:28:49
8|έτρωγες|너는 먹고 있었다 / 자주 먹었다||1/1|100%|00:00:09.018|00:00:09.018|correct|2025-04-07 12:28:49
9|έτρωγε|그/그녀는 먹고 있었다 / 자주 먹었다||1/1|100%|00:00:09.049|00:00:09.049|correct|2025-04-07 12:28:49
11|τρώγατε|너희는 먹고 있었다 / 자주 먹었다||1/1|100%|00:00:21.381|00:00:21.381|correct|2025-04-07 12:28:49
14|έχεις φάει|너는 먹은 적 있다||1/1|100%|00:00:05.016|00:00:05.016|correct|2025-04-07 12:28:49
15|έχει φάει|그/그녀는 먹은 적 있다||1/1|100%|00:00:06.201|00:00:06.201|correct|2025-04-07 12:28:49
16|έχουμε φάει|우리는 먹은 적 있다||1/1|100%|00:00:05.650|00:00:05.650|correct|2025-04-07 12:28:49
17|έχετε φάει|너희는 먹은 적 있다||1/1|100%|00:00:16.683|00:00:16.683|correct|2025-04-07 12:28:49
18|έχουν φάει|그들은 먹은 적 있다||1/1|100%|00:00:05.782|00:00:05.782|correct|2025-04-07 12:28:49
